epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1929.23,0.46593,0.50839,0.89092,0.90501,0.74898,0.86497,0.79378,0.45819,0.62711,0.87512,0.000288718,0.000288718,0.000288718
68,1957.63,0.45817,0.49278,0.88819,0.85926,0.79352,0.87222,0.79238,0.46909,0.66067,0.87681,0.000280471,0.000280471,0.000280471
69,1986.24,0.46871,0.49578,0.89458,0.89401,0.751,0.87006,0.80272,0.46812,0.6674,0.88434,0.000272224,0.000272224,0.000272224
70,2014.79,0.4321,0.45976,0.87607,0.93849,0.74241,0.8709,0.797,0.48268,0.64718,0.89452,0.000263978,0.000263978,0.000263978
71,2043.25,0.44429,0.46105,0.88076,0.87166,0.79018,0.8635,0.77635,0.48287,0.65649,0.87271,0.000255731,0.000255731,0.000255731
72,2071.7,0.44239,0.46201,0.88713,0.92851,0.77971,0.88584,0.80738,0.46746,0.6906,0.88225,0.000247484,0.000247484,0.000247484
73,2100.28,0.43421,0.44016,0.88338,0.97139,0.75265,0.88628,0.80573,0.47024,0.66218,0.87875,0.000239238,0.000239238,0.000239238
74,2128.73,0.42539,0.45271,0.88061,0.87429,0.79584,0.87447,0.79559,0.46432,0.64447,0.86459,0.000230991,0.000230991,0.000230991
75,2157.23,0.42516,0.43908,0.88108,0.92491,0.81522,0.89984,0.82335,0.46025,0.58865,0.86654,0.000222744,0.000222744,0.000222744
76,2185.79,0.42141,0.424,0.87064,0.92445,0.74175,0.8737,0.79932,0.46695,0.65758,0.86414,0.000214497,0.000214497,0.000214497
77,2214.23,0.43099,0.46141,0.88073,0.91534,0.81106,0.88188,0.80678,0.46898,0.64709,0.86882,0.000206251,0.000206251,0.000206251
78,2242.69,0.41585,0.43539,0.88228,0.88523,0.79581,0.87544,0.79903,0.45335,0.6261,0.8573,0.000198004,0.000198004,0.000198004
79,2271.08,0.42694,0.44761,0.87535,0.86799,0.83634,0.87808,0.81003,0.45221,0.62784,0.85702,0.000189757,0.000189757,0.000189757
80,2299.37,0.4047,0.40718,0.86831,0.89067,0.78758,0.86214,0.79587,0.43969,0.64797,0.85371,0.000181511,0.000181511,0.000181511
81,2327.76,0.41805,0.42451,0.86852,0.95043,0.75419,0.87393,0.80414,0.4483,0.56503,0.85001,0.000173264,0.000173264,0.000173264
82,2356.19,0.40324,0.39885,0.8718,0.91093,0.76406,0.86769,0.80025,0.43606,0.59542,0.85651,0.000165017,0.000165017,0.000165017
