epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2006.53,0.5107,0.43346,0.91226,0.96906,0.86567,0.9288,0.83211,0.50797,0.48111,0.8768,0.0006338,0.0006338,0.0006338
71,2035.1,0.5067,0.42283,0.90595,0.94577,0.86567,0.92114,0.82505,0.50923,0.46171,0.88289,0.000614,0.000614,0.000614
72,2063.64,0.50061,0.41226,0.9129,0.96202,0.85821,0.92441,0.83871,0.4979,0.47479,0.88506,0.0005942,0.0005942,0.0005942
73,2091.97,0.49914,0.42243,0.91116,0.89091,0.91416,0.91749,0.81899,0.50223,0.47857,0.86868,0.0005744,0.0005744,0.0005744
74,2120.47,0.48559,0.40883,0.90455,0.90094,0.91045,0.92876,0.84048,0.51387,0.47797,0.8873,0.0005546,0.0005546,0.0005546
75,2149.08,0.49302,0.39439,0.90511,0.94334,0.8697,0.92132,0.82447,0.52023,0.50365,0.88551,0.0005348,0.0005348,0.0005348
76,2177.47,0.48996,0.39658,0.89652,0.95833,0.85811,0.91409,0.82656,0.53282,0.45834,0.93887,0.000515,0.000515,0.000515
77,2205.87,0.49783,0.42293,0.90844,0.95531,0.87313,0.92212,0.83725,0.51107,0.45867,0.90297,0.0004952,0.0004952,0.0004952
78,2234.28,0.49124,0.40738,0.9142,0.95967,0.88779,0.93646,0.84902,0.49986,0.46974,0.87439,0.0004754,0.0004754,0.0004754
79,2262.88,0.5022,0.41479,0.90587,0.9492,0.91791,0.93028,0.84932,0.49742,0.49284,0.87353,0.0004556,0.0004556,0.0004556
80,2291.49,0.46627,0.39672,0.89178,0.96414,0.86567,0.92805,0.83302,0.4943,0.46671,0.87853,0.0004358,0.0004358,0.0004358
81,2319.85,0.48037,0.41482,0.89118,0.95091,0.89552,0.93039,0.83534,0.49246,0.45703,0.87841,0.000416,0.000416,0.000416
82,2348.26,0.46538,0.38659,0.89584,0.92307,0.89538,0.93376,0.83902,0.46805,0.44215,0.86702,0.0003962,0.0003962,0.0003962
83,2376.65,0.43965,0.37492,0.89063,0.95661,0.87313,0.92975,0.84831,0.47271,0.45141,0.86135,0.0003764,0.0003764,0.0003764
84,2405.29,0.44978,0.37209,0.88457,0.97129,0.89552,0.93512,0.85205,0.46568,0.42811,0.86103,0.0003566,0.0003566,0.0003566
85,2433.77,0.44884,0.36917,0.88985,0.95943,0.88233,0.9396,0.85087,0.4575,0.41248,0.85201,0.0003368,0.0003368,0.0003368
86,2462.19,0.45077,0.38678,0.89096,0.98294,0.85986,0.93558,0.85782,0.45917,0.45507,0.8563,0.000317,0.000317,0.000317
87,2490.83,0.44815,0.38708,0.89098,0.9795,0.87313,0.93333,0.84717,0.46279,0.46735,0.85834,0.0002972,0.0002972,0.0002972
88,2519.37,0.42969,0.36113,0.89259,0.96193,0.85821,0.92523,0.8408,0.46212,0.45129,0.86017,0.0002774,0.0002774,0.0002774
89,2547.8,0.42091,0.35552,0.87057,0.99128,0.84791,0.93106,0.84364,0.45897,0.42911,0.86006,0.0002576,0.0002576,0.0002576
90,2576.37,0.44056,0.36209,0.89177,0.97993,0.86567,0.92774,0.84868,0.45374,0.44428,0.85419,0.0002378,0.0002378,0.0002378
91,2619.18,0.41184,0.32682,0.8723,0.9601,0.89777,0.93099,0.84827,0.45721,0.44947,0.85534,0.000218,0.000218,0.000218
92,2647.37,0.38978,0.31201,0.84291,0.96634,0.88806,0.92845,0.83745,0.4703,0.45422,0.86119,0.0001982,0.0001982,0.0001982
93,2675.42,0.39395,0.31587,0.84705,0.96819,0.90854,0.93831,0.84197,0.46235,0.44892,0.85601,0.0001784,0.0001784,0.0001784
94,2703.78,0.37942,0.30714,0.84537,0.97474,0.86403,0.93892,0.85038,0.45154,0.4497,0.85629,0.0001586,0.0001586,0.0001586
95,2732.05,0.39013,0.30861,0.8457,0.96701,0.87507,0.93748,0.84972,0.4505,0.45354,0.85804,0.0001388,0.0001388,0.0001388
96,2760.33,0.37903,0.30654,0.84696,0.96416,0.87313,0.93602,0.84887,0.45267,0.44471,0.85854,0.000119,0.000119,0.000119
97,2788.86,0.37078,0.30098,0.84359,0.96635,0.86567,0.93102,0.85146,0.4473,0.44181,0.8552,9.92e-05,9.92e-05,9.92e-05
98,2816.99,0.36776,0.29618,0.83975,0.98257,0.85821,0.93648,0.85424,0.44672,0.43758,0.8518,7.94e-05,7.94e-05,7.94e-05
99,2845.29,0.37601,0.2979,0.84441,0.92928,0.88806,0.928,0.84966,0.45019,0.43449,0.85393,5.96e-05,5.96e-05,5.96e-05
100,2873.45,0.36885,0.29494,0.84871,0.93798,0.90291,0.94391,0.85966,0.44843,0.43268,0.85251,3.98e-05,3.98e-05,3.98e-05
